epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,979.048,1.37253,2.99358,1.62624,0.46298,0.44605,0.39575,0.252,1.44347,2.83279,1.67274,0.000275887,0.000275887,0.000275887
2,2255.56,1.33059,2.23918,1.57307,0.38276,0.49725,0.42201,0.25471,1.50742,2.69365,1.72562,0.000542593,0.000542593,0.000542593
3,3337.94,1.33423,2.04546,1.57491,0.44338,0.50754,0.48807,0.30802,1.42014,2.26529,1.6817,0.000798304,0.000798304,0.000798304
4,4728.46,1.31796,1.95581,1.5479,0.52864,0.52816,0.52239,0.3211,1.44858,2.20419,1.71419,0.00078352,0.00078352,0.00078352
5,6035.23,1.27881,1.79582,1.51184,0.61526,0.52565,0.52973,0.31931,1.5261,2.20631,1.72677,0.000767026,0.000767026,0.000767026
6,7266.97,1.27123,1.72326,1.51052,0.61693,0.57213,0.60773,0.37873,1.4573,1.88739,1.68175,0.000750533,0.000750533,0.000750533
7,8465.01,1.24301,1.60084,1.4761,0.58394,0.6217,0.5994,0.41056,1.30416,1.61835,1.56344,0.00073404,0.00073404,0.00073404
8,9617.02,1.22864,1.5473,1.46708,0.6025,0.62773,0.63945,0.41234,1.36627,1.59081,1.55927,0.000717546,0.000717546,0.000717546
9,10752.4,1.20518,1.50872,1.45201,0.6353,0.63996,0.65912,0.43492,1.31883,1.46311,1.5248,0.000701053,0.000701053,0.000701053
10,11928.8,1.18227,1.4337,1.43862,0.60278,0.62524,0.6262,0.41617,1.3247,1.52221,1.53553,0.000684559,0.000684559,0.000684559
11,13266.3,1.19131,1.40952,1.42381,0.73108,0.61553,0.67715,0.44926,1.27371,1.39665,1.50903,0.000668066,0.000668066,0.000668066
12,14802.3,1.16387,1.34796,1.40904,0.74252,0.61055,0.6841,0.46433,1.2869,1.3212,1.48551,0.000651573,0.000651573,0.000651573
13,16091.5,1.15549,1.31656,1.39419,0.63403,0.66643,0.65833,0.44092,1.2723,1.33452,1.50051,0.000635079,0.000635079,0.000635079
14,17357.1,1.11852,1.28476,1.38117,0.65743,0.69018,0.68183,0.45605,1.33876,1.32714,1.54865,0.000618586,0.000618586,0.000618586
15,18627.3,1.13396,1.27007,1.37673,0.61178,0.65276,0.66013,0.45184,1.26163,1.46404,1.44864,0.000602092,0.000602092,0.000602092
16,19960.3,1.10944,1.20458,1.36123,0.62701,0.69132,0.68007,0.4831,1.21572,1.30907,1.43812,0.000585599,0.000585599,0.000585599
17,21296.1,1.10388,1.19703,1.35356,0.7222,0.63431,0.6906,0.48165,1.22584,1.27223,1.45412,0.000569106,0.000569106,0.000569106
18,22641.4,1.08784,1.17016,1.34672,0.65616,0.65184,0.67646,0.46659,1.20303,1.22798,1.43287,0.000552612,0.000552612,0.000552612
19,23969.9,1.07603,1.12777,1.33128,0.66174,0.65434,0.68068,0.4554,1.25828,1.2832,1.46743,0.000536119,0.000536119,0.000536119
20,25279.5,1.05882,1.12258,1.31843,0.68484,0.6773,0.68657,0.47308,1.21435,1.24225,1.42241,0.000519625,0.000519625,0.000519625
21,26597.1,1.04715,1.0879,1.31546,0.71343,0.68291,0.70403,0.48937,1.2229,1.18088,1.44067,0.000503132,0.000503132,0.000503132
22,27895.7,1.05808,1.08848,1.32185,0.68286,0.67754,0.70403,0.47895,1.24768,1.18095,1.45041,0.000486639,0.000486639,0.000486639
23,29195.5,1.03879,1.0378,1.30122,0.74414,0.67109,0.72094,0.50287,1.22377,1.13305,1.40596,0.000470145,0.000470145,0.000470145
24,30494.7,1.02981,1.02188,1.29647,0.7241,0.69335,0.71925,0.5024,1.19342,1.12405,1.40378,0.000453652,0.000453652,0.000453652
25,31817.5,1.01819,0.99972,1.28815,0.6674,0.69587,0.69881,0.48847,1.1814,1.22544,1.40741,0.000437158,0.000437158,0.000437158
26,33169.3,1.01524,0.99965,1.29415,0.64829,0.71385,0.70629,0.48575,1.27855,1.19596,1.44212,0.000420665,0.000420665,0.000420665
27,34481.1,1.00899,0.98414,1.27811,0.71767,0.73464,0.74602,0.50744,1.21003,1.07613,1.43579,0.000404172,0.000404172,0.000404172
28,35798.8,0.98924,0.94599,1.26568,0.67385,0.70012,0.71266,0.5015,1.17635,1.10846,1.3885,0.000387678,0.000387678,0.000387678
29,37146.3,0.98558,0.93728,1.26447,0.72961,0.68317,0.7187,0.50034,1.17421,1.16938,1.41355,0.000371185,0.000371185,0.000371185
30,38448.1,0.96533,0.92136,1.24164,0.70784,0.72038,0.73145,0.52078,1.15011,1.10937,1.36825,0.000354691,0.000354691,0.000354691
31,39764.6,0.96922,0.93564,1.25598,0.74858,0.66101,0.72345,0.51006,1.16192,1.10698,1.38778,0.000338198,0.000338198,0.000338198
32,41103.1,0.95804,0.88603,1.23592,0.77922,0.65921,0.71321,0.49321,1.20842,1.13598,1.41229,0.000321705,0.000321705,0.000321705
33,42427.1,0.93623,0.87331,1.22786,0.6903,0.72491,0.72101,0.51761,1.12434,1.12548,1.36956,0.000305211,0.000305211,0.000305211
34,43574.6,0.9263,0.84262,1.2192,0.74076,0.67406,0.72701,0.51537,1.15439,1.08576,1.38158,0.000288718,0.000288718,0.000288718
35,44564,0.92819,0.82164,1.21293,0.76306,0.7152,0.74985,0.52517,1.16557,1.06402,1.3934,0.000272224,0.000272224,0.000272224
36,45658.9,0.89454,0.83719,1.2093,0.75767,0.68359,0.72183,0.52354,1.11055,1.06871,1.36916,0.000255731,0.000255731,0.000255731
37,46712.1,0.91262,0.80746,1.2111,0.7414,0.68831,0.71461,0.50654,1.14628,1.12773,1.37671,0.000239238,0.000239238,0.000239238
38,47815.3,0.89985,0.80722,1.2043,0.77778,0.67421,0.73351,0.52108,1.16512,1.09737,1.38647,0.000222744,0.000222744,0.000222744
39,49283,0.8965,0.78059,1.19447,0.71529,0.72051,0.73103,0.51541,1.17947,1.09304,1.4025,0.000206251,0.000206251,0.000206251
40,50736.9,0.87724,0.77632,1.19157,0.76618,0.69566,0.73978,0.5174,1.15313,1.08296,1.38994,0.000189757,0.000189757,0.000189757
41,52232.8,0.84884,0.69529,1.17078,0.72287,0.73411,0.72979,0.52472,1.14818,1.07681,1.39603,0.000173264,0.000173264,0.000173264
42,53755,0.82524,0.65647,1.15561,0.7397,0.72634,0.72288,0.51984,1.13402,1.05675,1.38849,0.000156771,0.000156771,0.000156771
43,55291.6,0.81493,0.61217,1.14567,0.73994,0.71506,0.74533,0.52074,1.14934,1.06198,1.39398,0.000140277,0.000140277,0.000140277
44,56573,0.79115,0.59002,1.12618,0.7228,0.70784,0.73324,0.51335,1.16569,1.11003,1.39652,0.000123784,0.000123784,0.000123784
45,57714.1,0.78712,0.59349,1.13014,0.69144,0.75238,0.73869,0.53187,1.1426,1.06427,1.38918,0.00010729,0.00010729,0.00010729
46,59098.6,0.79228,0.58831,1.12524,0.74275,0.74717,0.75194,0.54148,1.12807,1.03042,1.37952,9.0797e-05,9.0797e-05,9.0797e-05
47,60480.2,0.77528,0.56465,1.10701,0.77826,0.70682,0.74198,0.53776,1.11261,1.05347,1.37118,7.43036e-05,7.43036e-05,7.43036e-05
48,61859.7,0.7766,0.57207,1.13113,0.72778,0.75747,0.75194,0.54208,1.11128,1.03311,1.36957,5.78102e-05,5.78102e-05,5.78102e-05
49,63242.1,0.75135,0.56069,1.10088,0.79889,0.68735,0.74628,0.53648,1.10708,1.04825,1.36671,4.13168e-05,4.13168e-05,4.13168e-05
50,64618.8,0.74568,0.5303,1.10454,0.81967,0.68649,0.74575,0.53575,1.12501,1.05559,1.36975,2.48234e-05,2.48234e-05,2.48234e-05
