epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2018.28,1.37253,2.99358,1.62624,0.46298,0.44605,0.39575,0.252,1.44347,2.83279,1.67274,0.000275887,0.000275887,0.000275887
2,4120.9,1.33059,2.23918,1.57307,0.38276,0.49725,0.42201,0.25471,1.50742,2.69365,1.72562,0.000542593,0.000542593,0.000542593
3,5304.96,1.33423,2.04546,1.57491,0.44338,0.50754,0.48807,0.30802,1.42014,2.26529,1.6817,0.000798304,0.000798304,0.000798304
4,6305.6,1.31796,1.95581,1.5479,0.52864,0.52816,0.52239,0.3211,1.44858,2.20419,1.71419,0.00078352,0.00078352,0.00078352
5,7802.9,1.27881,1.79582,1.51184,0.61526,0.52565,0.52973,0.31931,1.5261,2.20631,1.72677,0.000767026,0.000767026,0.000767026
6,9618.82,1.27123,1.72326,1.51052,0.61693,0.57213,0.60773,0.37873,1.4573,1.88739,1.68175,0.000750533,0.000750533,0.000750533
7,11328.8,1.24301,1.60084,1.4761,0.58394,0.6217,0.5994,0.41056,1.30416,1.61835,1.56344,0.00073404,0.00073404,0.00073404
8,12778.2,1.22864,1.5473,1.46708,0.6025,0.62773,0.63945,0.41234,1.36627,1.59081,1.55927,0.000717546,0.000717546,0.000717546
9,13760.2,1.20518,1.50872,1.45201,0.6353,0.63996,0.65912,0.43492,1.31883,1.46311,1.5248,0.000701053,0.000701053,0.000701053
10,14756.1,1.18227,1.4337,1.43862,0.60278,0.62524,0.6262,0.41617,1.3247,1.52221,1.53553,0.000684559,0.000684559,0.000684559
11,15827,1.19131,1.40952,1.42381,0.73108,0.61553,0.67715,0.44926,1.27371,1.39665,1.50903,0.000668066,0.000668066,0.000668066
